t,phase,target_waypoint,x_wp,y_wp,yaw_wp,x_ref,y_ref,x_real,y_real,z_real,ex,ey,e_pos,vx_real,vx_ref,vx_cmd_eff,vy_cmd_eff,wz_cmd_eff
12.73,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.3819,0.0,0.35984281529783774,-0.024532658637132384,0.30891813338251967,0.02205718470216228,0.024532658637132384,0.032990464331248325,0.033856332562829904,0.03,0.04765394128674241,0.007503025377496246,0.0
12.732000000000001,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38196,0.0,0.35999037969285996,-0.024580341642384065,0.3089619932779126,0.02196962030714006,0.024580341642384065,0.032967520557303384,0.03585262581024283,0.03,0.047633148669002215,0.007516175145891285,0.0
12.734,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38201999999999997,0.0,0.36014225666207,-0.0246238388620816,0.30900852587639627,0.021877743337929967,0.0246238388620816,0.03293886904351907,0.03785691874998381,0.03,0.04761127331386659,0.007528280642758773,0.0
12.736,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38208000000000003,0.0,0.36029845576070646,-0.024663089650708587,0.3090577296527437,0.02178154423929357,0.024663089650708587,0.032904462623893314,0.039869050278394706,0.03,0.04758831261641945,0.007539326494398055,0.0
12.738,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38214,0.0,0.3604589843029848,-0.024698032439347477,0.309109602742032,0.021681015697015193,0.024698032439347477,0.03286425486800636,0.04188881132143535,0.03,0.04756426453163471,0.007549297093179745,0.0
12.74,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.3822,0.0,0.3606238475776176,-0.024728604929247673,0.3091641424147694,0.021576152422382366,0.024728604929247673,0.03281820005881932,0.043915952621182995,0.03,0.04753912752059762,0.007558176645901257,0.0
12.742,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38226,0.0,0.3607930489907672,-0.02475474425657022,0.3092213446694305,0.021466951009232793,0.02475474425657022,0.03276625320113664,0.045950190318861876,0.03,0.04751290051486069,0.0075659492149447215,0.0
12.744,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38232,0.0,0.36096659018923305,-0.024776387158429405,0.3092812039180198,0.021353409810766943,0.024776387158429405,0.03270837004760316,0.04799121076456754,0.03,0.04748558288573477,0.00757259875976744,0.0
12.746,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38238,0.0,0.36114447117872295,-0.024793470115635305,0.3093437127293696,0.02123552882127705,0.024793470115635305,0.03264450711366599,0.05003867496358513,0.03,0.047457174414803356,0.007578109172574697,0.0
12.748000000000001,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38244,0.0,0.36132669038208487,-0.024805929493648,0.3094088616531059,0.021113309617915132,0.024805929493648,0.03257462173327241,0.052092221299452394,0.03,0.047427675279443776,0.0075824643135525525,0.0
